0: 360=9
1: 180=9
2: 90=9
3: 45=9
4: 22.5=9
5: 11.25=9
6: 5.625=9
7: 2.8125=9
8: 1.40625=9
9: 0.703125=9
10: 0.3515625=9
11: 0.17578125=9
12: 0.087890625=9
13: 0.0439453125=9
14: 0.02197265625=9
15: 0.010986328125=9
16: 0.0054931640625=9
17: 0.00274658203125=9
18: 0.001373291015625=9
19: 0.0006866455078125=9
20: 0.00034332275390625=9
21: 0.000171661376953125=9
22: 0.0000858306884765625=9
23: 0.00004291534423828125=9
24: 0.000021457672119140625=9
25: 0.0000107288360595703125=9
26: 0.00000536441802978515625=9
27: 0.000002682209014892578125=9
28: 0.0000013411045074462890625=9
29: 6.7055225372314453125E-7=9
30: 3.35276126861572265625E-7=9
31: 1.676380634307861328125E-7=9
32: 8.381903171539306640625E-8=9
33: 4.1909515857696533203125E-8=9
34: 2.09547579288482666015625E-8=9
35: 1.047737896442413330078125E-8=9
36: 5.238689482212066650390625E-9=9
37: 2.6193447411060333251953125E-9=9
38: 1.30967237055301666259765625E-9=9
39: 6.54836185276508331298828125E-10=9
40: 3.274180926382541656494140625E-10=9
41: 1.637090463191270828247070312E-10=9
42: 8.18545231595635414123535156E-11=9
43: 4.09272615797817707061767578E-11=9
44: 2.04636307898908853530883789E-11=9
45: 1.023181539494544267654418945E-11=9
46: 5.115907697472721338272094725E-12=9
47: 2.557953848736360669136047362E-12=9
48: 1.278976924368180334568023681E-12=9
49: 6.394884621840901672840118405E-13=9
50: 3.197442310920450836420059202E-13=9
51: 1.598721155460225418210029601E-13=9
52: 7.993605777301127091050148005E-14=9
53: 3.996802888650563545525074002E-14=9
54: 1.998401444325281772762537001E-14=9
55: 9.992007221626408863812685005E-15=9
56: 4.996003610813204431906342502E-15=9
57: 2.498001805406602215953171251E-15=9
58: 1.249000902703301107976585626E-15=9
59: 6.24500451351650553988292813E-16=9
60: 3.122502256758252769941464065E-16=9
61: 1.561251128379126384970732032E-16=9
62: 7.80625564189563192485366016E-17=9
63: 3.90312782094781596242683008E-17=9
64: 1.95156391047390798121341504E-17=9
65: 9.7578195523695399060670752E-18=9
66: 4.8789097761847699530335376E-18=9
67: 2.4394548880923849765167688E-18=9
68: 1.2197274440461924882583844E-18=9
69: 6.098637220230962441291922E-19=9
70: 3.049318610115481220645961E-19=9
71: 1.5246593050577406103229805E-19=9
72: 7.6232965252887030516149025E-20=9
73: 3.81164826264435152580745125E-20=9
74: 1.905824131322175762903725625E-20=9
75: 9.529120656610878814518628125E-21=9
76: 4.764560328305439407259314062E-21=9
77: 2.382280164152719703629657031E-21=9
78: 1.191140082076359851814828516E-21=9
79: 5.95570041038179925907414258E-22=9
80: 2.97785020519089962953707129E-22=9
81: 1.488925102595449814768535645E-22=9
82: 7.444625512977249073842678225E-23=9
83: 3.722312756488624536921339112E-23=9
84: 1.861156378244312268460669556E-23=9
85: 9.30578189122156134230334778E-24=9
86: 4.65289094561078067115167389E-24=9
87: 2.326445472805390335575836945E-24=9
88: 1.163222736402695167787918472E-24=9
89: 5.81611368201347583893959236E-25=9
90: 2.90805684100673791946979618E-25=9
91: 1.45402842050336895973489809E-25=9
92: 7.27014210251684479867449045E-26=9
93: 3.635071051258422399337245225E-26=9
94: 1.817535525629211199668622612E-26=9
95: 9.08767762814605599834311306E-27=9
96: 4.54383881407302799917155653E-27=9
97: 2.271919407036513999585778265E-27=9
98: 1.135959703518256999792889132E-27=9
99: 5.67979851759128499896444566E-28=9
100: 2.83989925879564249948222283E-28=9
